7060400,BAGOTVILLE A                              ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1953,  994.3,a,  990.6,a,  997.3,a,  987.4,a,  993.3,a,  992.1,a,  993.4,a,  995.0,a,  993.5,a,  997.9,a,  997.4,a,  991.0,a,  993.6,a,  992.4,a,  992.7,a,  993.5,a,  996.3,a 
1954, 1000.9,a,  992.9,a,  989.7,a,  998.8,a,  994.6,a,  994.2,a,  991.3,a,  992.7,a,  994.1,a,  996.1,a,  996.0,a,  993.3,a,  994.5,a,  994.9,a,  994.3,a,  992.7,a,  995.4,a 
1955,  993.7,a, 1003.2,a,  990.2,a,  996.1,a,  992.8,a,  992.8,a,  995.4,a,  996.4,a,  997.5,a,  996.3,a,  990.5,a,  996.5,a,  995.1,a,  996.8,a,  993.0,a,  994.9,a,  994.8,a 
1956,  997.6,a,  993.3,a,  995.8,a,  991.7,a,  995.3,a,  994.2,a,  993.3,a,  992.9,a,  997.2,a, 1002.0,a,  995.9,a,  995.3,a,  995.4,a,  995.8,a,  994.3,a,  993.5,a,  998.4,a 
1957,  998.1,a,  999.0,a,  994.4,a,  996.5,a,  994.8,a,  992.8,a,  991.1,a,  995.5,a,  994.8,a,  998.5,a,  994.0,a,  994.2,a,  995.3,a,  997.5,a,  995.2,a,  993.1,a,  995.8,a 
1958,  994.9,a,  986.2,a,  996.6,a,  995.6,a,  993.5,a,  990.3,a,  993.1,a,  990.5,a,  994.2,a,  996.4,a,  991.9,a,  998.1,a,  993.4,a,  991.8,a,  995.2,a,  991.3,a,  994.1,a 
1959,  990.3,a,  995.8,a,  993.2,a,  993.8,a,  995.7,a,  992.3,a,  995.4,a,  995.5,a,  998.5,a,  995.2,a,  996.1,a,  998.7,a,  995.0,a,  994.7,a,  994.3,a,  994.4,a,  996.6,a 
1960,  996.0,a,  990.8,a,  996.0,a,  993.2,a,  994.1,a,  991.9,a,  991.0,a,  994.5,a,  997.1,a,  993.2,a,  991.8,a,  995.1,a,  993.7,a,  995.2,a,  994.4,a,  992.4,a,  994.0,a 
1961,  994.8,a,  998.3,a,  995.0,a,  990.2,a,  994.9,a,  990.6,a,  993.1,a,  995.9,a,  996.9,a,  995.6,a,  994.9,a,  992.8,a,  994.4,a,  996.1,a,  993.4,a,  993.2,a,  995.8,a 
1962,  994.0,a, 1000.3,a,  996.4,a,  993.0,a,  996.0,a,  993.7,a,  992.8,a,  995.3,a,  995.5,a,  993.7,a,  999.5,a,  993.9,a,  995.3,a,  995.7,a,  995.1,a,  993.9,a,  996.2,a 
1963,  995.4,a,  990.8,a,  994.0,a,  989.7,a,  995.3,a,  991.1,a,  990.7,a,  992.1,a,  998.2,a,  995.3,a,  992.0,a,  994.0,a,  993.2,a,  993.4,a,  993.0,a,  991.3,a,  995.2,a 
1964,  991.8,a,  986.9,a,  992.2,a,  998.5,a,  991.4,a,  990.6,a,  994.2,a,  992.6,a,  996.4,a,  995.1,a,  995.6,a,  998.9,a,  993.7,a,  990.9,a,  994.0,a,  992.5,a,  995.7,a 
1965,  994.1,a,  994.0,a,  995.1,a,  993.6,a,  994.3,a,  993.4,a,  992.3,a,  991.9,a,  999.1,a,  991.1,a,  994.3,a,  995.3,a,  994.0,a,  995.7,a,  994.4,a,  992.5,a,  994.8,a 
1966,  994.4,a,  997.5,a,  994.1,a,  996.4,a,  993.3,a,  994.1,a,  990.1,a,  992.4,a,  991.7,a,  991.1,a,  998.5,a,  996.2,a,  994.2,a,  995.7,a,  994.6,a,  992.2,a,  993.8,a 
1967,  995.2,a,  992.6,a, 1000.6,a,  995.7,a,  994.4,a,  996.5,a,  992.8,a,  995.5,a,  996.4,a,  996.6,a,  990.6,a,  997.8,a,  995.4,a,  994.6,a,  996.9,a,  994.9,a,  994.5,a 
1968, 1002.9,a,  986.9,a,  993.4,a,  995.2,a,  994.4,a,  992.6,a,  994.8,a,  993.9,a,  997.6,a,  993.0,a,  993.8,a,  990.3,a,  994.1,a,  995.8,a,  994.3,a,  993.8,a,  994.8,a 
1969,  995.4,a,  996.4,a,  989.5,a,  995.2,a,  994.4,a,  991.1,a,  994.4,a,  991.8,a,  997.6,a,  996.5,a,  996.3,a,  993.4,a,  994.3,a,  994.0,a,  993.1,a,  992.5,a,  996.8,a 
1970,  991.5,a,  994.6,a,  993.0,a,  993.5,a,  997.0,a,  992.3,a,  992.7,a,  992.1,a,  995.2,a, 1002.6,a,  996.7,a,  996.5,a,  994.8,a,  993.2,a,  994.5,a,  992.4,a,  998.1,a 
1971,  989.4,a,  994.4,a,  988.7,a,  991.7,a,  991.6,a,  993.2,a,  992.2,a,  993.6,a,  997.6,a,  998.1,a,  996.8,a,  998.3,a,  993.8,a,  993.4,a,  990.7,a,  993.0,a,  997.5,a 
1972,  993.0,a,  994.6,a,  994.9,a,  994.1,a,  996.5,a,  991.8,a,  995.0,a,  994.3,a,  996.0,a,  997.7,a,  997.5,a,  999.3,a,  995.4,a,  995.3,a,  995.2,a,  993.7,a,  997.1,a 
1973,  992.4,a, 1000.0,a,  998.5,a,  992.9,a,  992.2,a,  993.3,a,  991.9,a,  994.8,a,  995.2,a,  996.1,a,  990.0,a,  997.0,a,  994.5,a,  997.2,a,  994.5,a,  993.4,a,  993.8,a 
