8206500,YARMOUTH A                                ,NS  ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1979, 1005.3, , 1006.3, , 1012.6, , 1010.1, , 1012.0, , 1012.4, , 1010.8, , 1010.6, , 1012.3, ,-9999.9,M, 1012.8, , 1008.6, , 1010.3, , 1005.7, , 1011.6, , 1011.3, , 1012.5,  
1980, 1006.9, , 1005.2, , 1007.9, , 1009.3, , 1006.1, , 1007.3, , 1007.3, , 1009.4, , 1011.7, , 1008.2, , 1005.2, , 1009.4, , 1007.8, , 1006.9, , 1007.7, , 1008.0, , 1008.4,  
1981, 1003.6, , 1016.2, ,  998.7, , 1007.4, , 1008.7, , 1006.8, , 1009.0, , 1011.3, , 1008.2, , 1012.3, , 1004.8, , 1003.6, , 1007.5, , 1009.7, , 1004.9, , 1009.0, , 1008.4,  
1982, 1006.2, , 1011.7, , 1010.9, , 1005.3, , 1011.3, , 1008.7, , 1009.0, , 1010.4, , 1013.2, , 1013.0, , 1015.2, , 1014.6, , 1010.8, , 1007.2, , 1009.2, , 1009.4, , 1013.8,  
1983, 1011.0, , 1008.8, , 1004.8, , 1008.5, , 1010.8, , 1009.7, , 1006.9, , 1010.2, , 1012.3, , 1015.6, , 1006.2, , 1012.1, , 1009.7, , 1011.5, , 1008.0, , 1008.9, , 1011.4,  
1984, 1013.7, , 1008.7, , 1007.2, , 1007.1, , 1008.8, , 1009.0, , 1009.6, , 1009.9, , 1012.9, , 1015.3, , 1011.0, , 1013.3, , 1010.5, , 1011.5, , 1007.7, , 1009.5, , 1013.1,  
1985,  998.5, , 1010.9, , 1007.5, , 1008.4, , 1007.0, , 1006.0, , 1009.9, , 1012.5, , 1014.0, , 1013.8, , 1014.9, , 1007.0, , 1009.2, , 1007.6, , 1007.6, , 1009.5, , 1014.2,  
1986, 1007.8, , 1006.4, , 1010.4, , 1008.5, , 1009.5, , 1007.0, , 1008.6, , 1011.0, , 1012.9, , 1011.8, , 1013.9, , 1013.5, , 1010.1, , 1007.1, , 1009.5, , 1008.9, , 1012.9,  
1987, 1003.2, , 1003.3, , 1010.4, , 1010.1, , 1012.7, , 1007.6, , 1010.1, , 1010.0, , 1010.2, , 1012.9, , 1011.8, , 1003.7, , 1008.8, , 1006.7, , 1011.0, , 1009.2, , 1011.6,  
1988, 1013.6, , 1010.2, , 1007.0, , 1003.0, , 1011.3, , 1005.6, , 1011.1, , 1010.4, , 1011.5, , 1011.9, , 1008.1, , 1010.0, , 1009.5, , 1009.2, , 1007.1, , 1009.0, , 1010.5,  
1989, 1011.2, , 1013.7, , 1015.4, , 1008.7, , 1010.7, , 1010.0, , 1011.2, , 1010.1, , 1014.4, , 1013.0, , 1006.1, , 1005.7, , 1010.9, , 1011.7, , 1011.6, , 1010.4, , 1011.2,  
1990, 1008.5, , 1011.7, , 1016.2, , 1011.6, , 1008.1, , 1008.8, , 1010.7, , 1012.6, , 1011.6, , 1010.9, , 1006.1, , 1013.1, , 1010.8, , 1008.6, , 1011.9, , 1010.7, , 1009.6,  
1991, 1012.8, , 1009.0, , 1004.1, , 1012.4, , 1010.3, , 1007.6, , 1008.6, , 1010.6, , 1013.3, , 1014.4, , 1011.9, , 1010.1, , 1010.4, , 1011.6, , 1009.0, , 1008.9, , 1013.2,  
1992, 1006.7, , 1006.3, , 1007.7, , 1009.5, , 1014.8, , 1007.9, , 1008.6, , 1013.0, , 1016.1, , 1010.4, , 1014.8, , 1012.1, , 1010.7, , 1007.7, , 1010.7, , 1009.8, , 1013.7,  
1993, 1014.1, , 1010.5, , 1011.5, , 1010.7, , 1008.5, , 1008.5, , 1008.2, , 1012.3, , 1011.5, , 1012.2, , 1014.6, , 1008.1, , 1010.9, , 1012.3, , 1010.2, , 1009.7, , 1012.7,  
1994, 1012.6, , 1012.2, , 1004.8, , 1011.3, , 1006.6, , 1009.3, , 1012.1, , 1011.0, , 1009.2, , 1011.1, , 1009.9, , 1013.6, , 1010.3, , 1010.9, , 1007.6, , 1010.8, , 1010.1,  
1995, 1008.4, , 1005.8, , 1012.3, , 1007.0, , 1008.1, , 1010.1, , 1009.4, , 1009.9, , 1013.7, , 1010.9, , 1011.0, , 1004.7, , 1009.3, , 1009.3, , 1009.2, , 1009.8, , 1011.8,  
1996, 1012.0, , 1004.9, , 1008.2, , 1006.1, , 1010.0, , 1011.9, , 1008.4, , 1013.9, , 1008.6, , 1011.7, , 1013.8, , 1013.9, , 1010.3, , 1007.2, , 1008.1, , 1011.4, , 1011.4,  
1997, 1007.2, , 1013.1, , 1008.4, , 1003.8, , 1005.8, , 1008.8, , 1008.5, , 1010.4, , 1008.9, , 1011.2, , 1007.3, , 1001.6, , 1007.9, , 1011.4, , 1006.0, , 1009.2, , 1009.1,  
1998, 1012.2, , 1008.1, , 1010.2, , 1006.1, , 1008.2, , 1006.2, , 1008.2, , 1012.6, , 1006.4, , 1010.1, , 1009.3, , 1010.7, , 1009.0, , 1007.3, , 1008.2, , 1009.0, , 1008.6,  
1999, 1014.9, , 1009.2, , 1005.1, , 1004.7, , 1012.8, , 1013.1, , 1008.3, , 1008.7, , 1011.8, , 1012.6, , 1011.3, , 1008.9, , 1010.1, , 1011.6, , 1007.5, , 1010.0, , 1011.9,  
2000, 1006.6, , 1012.5, , 1009.4, , 1009.0, , 1009.0, , 1010.7, , 1010.0, , 1011.3, , 1011.3, , 1011.5, , 1005.4, , 1009.4, , 1009.7, , 1009.3, , 1009.1, , 1010.7, , 1009.4,  
2001, 1007.7, , 1011.7, , 1005.4, , 1010.7, , 1011.1, , 1010.4, , 1009.3, , 1010.6, , 1012.8, , 1012.0, , 1014.1, , 1007.8, , 1010.3, , 1009.6, , 1009.1, , 1010.1, , 1013.0,  
2002, 1005.0, , 1009.4, , 1015.1, , 1012.2, , 1010.2, , 1010.2, , 1008.7, , 1012.5, , 1012.1, , 1013.4, , 1006.5, , 1005.8, , 1010.1, , 1007.4, , 1012.5, , 1010.5, , 1010.7,  
2003, 1004.1, , 1007.4, , 1009.9, , 1012.6, , 1010.8, , 1007.6, , 1010.0, , 1011.2, , 1016.0, , 1009.8, , 1010.8, , 1007.3, , 1009.8, , 1005.8, , 1011.1, , 1009.6, , 1012.2,  
2004, 1001.6, , 1009.8, , 1014.5, , 1008.0, , 1012.1, , 1010.0, , 1010.6, , 1011.3, , 1014.7, , 1010.9, , 1012.6, , 1010.7, , 1010.6, , 1006.2, , 1011.5, , 1010.7, , 1012.7,  
2005, 1014.6, , 1012.3, , 1001.4, , 1009.8, , 1009.0, , 1010.1, , 1010.4, , 1011.6, , 1012.5, , 1009.3, , 1011.4, , 1005.9, , 1009.8, , 1012.5, , 1006.7, , 1010.7, , 1011.0,  
2006, 1007.6, , 1005.8, , 1004.9, , 1007.5, , 1008.2, , 1009.2, , 1009.7, , 1009.5, , 1011.1, , 1007.4, , 1014.9, , 1012.1, , 1009.0, , 1006.5, , 1006.9, , 1009.5, , 1011.1,  
2007,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
2008, 1011.1, , 1009.0, , 1009.8, , 1013.5, , 1003.8, , 1008.5, , 1010.1, , 1007.8, , 1014.5, , 1012.8, , 1011.0, , 1011.3, , 1010.3, , 1010.1, , 1009.0, , 1008.8, , 1012.8,  
2009, 1006.1, , 1007.0, , 1013.7, , 1009.4, , 1012.2, , 1007.3, , 1009.8, , 1010.7, , 1013.5, , 1010.6, , 1012.5, , 1007.0, , 1010.0, , 1008.1, , 1011.7, , 1009.3, , 1012.2,  
2010, 1003.2, ,  998.1, , 1006.8, , 1005.5, , 1008.2, , 1006.3, , 1008.3, , 1010.4, , 1008.8, , 1004.2, , 1011.1, ,  999.4, , 1005.9, , 1002.7, , 1006.8, , 1008.3, , 1008.0,  
2011, 1004.4, , 1006.1, , 1013.1, , 1008.7, , 1011.7, , 1007.4, , 1006.6, , 1007.5, , 1012.8, , 1008.9, , 1012.9, , 1013.7, , 1009.5, , 1003.3, , 1011.2, , 1007.1, , 1011.5,  
2012, 1008.8, , 1008.0, , 1012.1, , 1005.3, , 1013.0, , 1008.3, , 1007.6, , 1010.4, , 1012.2, , 1010.1, , 1012.9, , 1009.2, , 1009.8, , 1010.2, , 1010.1, , 1008.8, , 1011.7,  
2013, 1010.3, , 1006.4, , 1004.4, , 1014.8, , 1013.8, , 1008.3, , 1011.5, , 1010.4, , 1010.1, , 1012.5, , 1012.4, , 1011.9, , 1010.6, , 1008.6, , 1011.0, , 1010.1, , 1011.6,  
2014, 1008.8, , 1009.3, , 1008.8, , 1011.4, , 1011.0, , 1010.2, , 1009.9, , 1011.3, , 1014.1, , 1008.2, , 1008.2, , 1013.2, , 1010.4, , 1010.0, , 1010.4, , 1010.4, , 1010.2,  
